dateE,latitude,longitude,depth,mag,gap,id,place
18-12-2023,33.145,76.7343,10,4.8,96,us7000lju0,"38 km SSW of Padam, India"
18-12-2023,33.2301,76.8256,10,5.1,32,us7000ljty,"26 km SSW of Padam, India"
08-12-2023,25.2822,91.712,46.137,4.2,151,us7000lh84,"2 km SE of Cherrapunji, India"
05-12-2023,9.3573,93.9828,10,4.8,47,us7000lgf0,"289 km SSE of Port Blair, India"
04-12-2023,27.8384,87.8476,69.075,4.4,111,us7000lg75,"73 km NNW of Gyalshing, India"
29-11-2023,12.1803,95.2262,10,4.8,89,us7000lei7,"276 km ENE of Port Blair, India"
29-11-2023,24.3535,94.3759,79.923,4.3,130,us7000lg65,"41 km SE of Wāngjing, India"
28-11-2023,25.2593,95.5453,10,4.6,94,us7000leay,"114 km ESE of Phek, India"
26-11-2023,12.6576,95.2787,10,4.5,152,us6000lqwy,"Andaman Islands, India region"
20-11-2023,9.1066,93.993,10.81,4.3,168,us6000lpnk,"Nicobar Islands, India region"
20-11-2023,27.2333,96.9713,10,4.7,37,us6000lpkj,"102 km SSE of Hayuliang, India"
19-11-2023,9.5337,93.8467,109.301,4.3,104,us6000lqbm,"Nicobar Islands, India region"
11-11-2023,9.3023,94.0048,10,4.4,64,us6000lnub,"295 km SSE of Port Blair, India"
10-11-2023,12.7441,91.7697,10,4.2,118,us7000la3q,"154 km NW of Bamboo Flat, India"
09-11-2023,9.4971,94.0862,10,4.4,91,us6000lndi,"281 km SSE of Port Blair, India"
08-11-2023,13.4736,92.909,18.383,4.5,93,us7000laqx,"197 km N of Bamboo Flat, India"
01-11-2023,10.9243,93.0553,85.977,5.2,49,us7000l828,"88 km SSE of Port Blair, India"
27-10-2023,26.2481,95.5087,79.962,4.8,60,us7000l70z,"68 km E of Tuensang, India"
26-10-2023,26.7385,96.8669,52.637,4.3,55,us7000l6lg,"59 km N of Sarupathar, India"
22-10-2023,27.8519,84.646,26.661,4,163,us7000l6ai,Nepal-India border region
22-10-2023,27.8879,84.7252,25.706,5.2,29,us6000lh8c,Nepal-India border region
20-10-2023,13.9893,92.8694,15.998,4.4,107,us7000l66u,"253 km N of Bamboo Flat, India"
18-10-2023,9.4496,93.9888,10,4.4,123,us6000lhic,"280 km SSE of Port Blair, India"
16-10-2023,9.3696,94.0097,10.254,4.5,55,us6000lgxp,"289 km SSE of Port Blair, India"
14-10-2023,31.8115,79.3974,10,4.3,154,us6000lflt,"140 km N of Joshīmath, India"
08-10-2023,31.7268,79.3465,10,4.5,161,us6000le17,"131 km N of Joshīmath, India"
08-10-2023,11.8926,92.3616,22.675,4.4,174,us6000lf3p,"44 km WNW of Bamboo Flat, India"
08-10-2023,8.5748,94.2956,10,4.2,169,us6000lf3b,"Nicobar Islands, India region"
08-10-2023,8.7033,94.2213,10.369,4.4,196,us6000lf3c,"Nicobar Islands, India region"
07-10-2023,9.2935,93.8804,10,4.5,150,us6000lev0,"290 km SSE of Port Blair, India"
07-10-2023,9.2548,93.8582,10,4.6,55,us6000ldwk,"293 km SSE of Port Blair, India"
02-10-2023,26.0535,97.0376,10,4.4,93,us6000lc9d,"28 km SE of Sarupathar, India"
02-10-2023,25.9206,90.5798,10,4.9,36,us6000lc8t,"28 km S of Goālpāra, India"
28-09-2023,9.3063,94.1254,10,4.3,177,us6000lcjr,"Nicobar Islands, India region"
27-09-2023,29.7208,94.6666,10,4,115,us6000lcge,"135 km NNE of Shi Yomi, India"
17-09-2023,24.5796,94.7033,10.119,4.2,77,us7000kx4x,"64 km E of Wāngjing, India"
16-09-2023,30.5044,94.8956,10,4,116,us7000kw66,"224 km NNE of Shi Yomi, India"
